filepath,size_MB,resolution,num_frames,class,label_content,type,split
train/barbell biceps curl/barbell biceps curl_45.mp4,0.88,1280x720,421,barbell biceps curl,frame_000000 frame_000420,video,train
train/barbell biceps curl/barbell biceps curl_46.mp4,1.67,1280x720,94,barbell biceps curl,frame_000000 frame_000093,video,train
train/barbell biceps curl/barbell biceps curl_48.mp4,1.22,1280x720,70,barbell biceps curl,frame_000002 frame_000069,video,train
train/barbell biceps curl/barbell biceps curl_49.mp4,1.15,1280x720,90,barbell biceps curl,frame_000000 frame_000089,video,train
train/barbell biceps curl/barbell biceps curl_51.mp4,5.88,1280x720,282,barbell biceps curl,frame_000000 frame_000281,video,train
train/barbell biceps curl/barbell biceps curl_52.mp4,7.58,1280x720,372,barbell biceps curl,frame_000002 frame_000371,video,train
train/barbell biceps curl/barbell biceps curl_54.mp4,2.56,1280x720,132,barbell biceps curl,frame_000000 frame_000131,video,train
train/barbell biceps curl/barbell biceps curl_55.mp4,2.53,1280x720,147,barbell biceps curl,frame_000000 frame_000146,video,train
train/barbell biceps curl/barbell biceps curl_57.mp4,4.07,1280x720,234,barbell biceps curl,frame_000000 frame_000233,video,train
train/barbell biceps curl/barbell biceps curl_58.mp4,2.58,1280x720,162,barbell biceps curl,frame_000000 frame_000161,video,train
train/barbell biceps curl/barbell biceps curl_6.mp4,0.5,1920x1080,123,barbell biceps curl,frame_000000 frame_000122,video,train
train/barbell biceps curl/barbell biceps curl_60.mp4,4.58,1280x720,246,barbell biceps curl,frame_000000 frame_000245,video,train
train/barbell biceps curl/barbell biceps curl_61.mp4,1.79,1280x720,70,barbell biceps curl,frame_000000 frame_000069,video,train
train/barbell biceps curl/barbell biceps curl_62.mp4,2.47,1280x720,98,barbell biceps curl,frame_000000 frame_000097,video,train
train/barbell biceps curl/barbell biceps curl_7.mp4,0.56,1920x1080,138,barbell biceps curl,frame_000000 frame_000137,video,train
train/barbell biceps curl/barbell biceps curl_9.mp4,0.29,1920x1080,72,barbell biceps curl,frame_000000 frame_000071,video,train
train/barbell biceps curl/barbell_biceps_curl_63.mp4,30.58,720x1280,927,barbell biceps curl,frame_000000 frame_000926,video,train
train/barbell biceps curl/barbell_biceps_curl_64.mp4,28.47,720x1280,861,barbell biceps curl,frame_000000 frame_000860,video,train
train/barbell biceps curl/barbell_biceps_curl_66.mp4,21.94,720x1280,668,barbell biceps curl,frame_000000 frame_000667,video,train
train/barbell biceps curl/barbell_biceps_curl_67.mp4,25.53,720x1280,776,barbell biceps curl,frame_000000 frame_000775,video,train
train/barbell biceps curl/barbell_biceps_curl_69.mp4,22.73,720x1280,692,barbell biceps curl,frame_000000 frame_000691,video,train
train/barbell biceps curl/barbell_biceps_curl_71.mp4,4.54,1280x720,1613,barbell biceps curl,frame_000760 frame_000781; frame_000782 frame_001079; frame_001080 frame_001294,video,train
train/barbell biceps curl/barbell_biceps_curl_75.webm,1.64,596x336,595,barbell biceps curl,frame_000000 frame_000594,video,train
train/barbell biceps curl/barbell_biceps_curl_78.mp4,1.63,480x854,407,barbell biceps curl,frame_000093 frame_000406,video,train
train/barbell biceps curl/barbell_biceps_curl_79.mp4,0.74,854x450,258,barbell biceps curl,frame_000000 frame_000257,video,train
train/lateral raise/lateral raise_10.mp4,3.03,1280x720,149,lateral raise,frame_000000 frame_000148,video,train
train/lateral raise/lateral raise_12.mp4,2.87,1280x720,98,lateral raise,frame_000000 frame_000097,video,train
train/lateral raise/lateral raise_14.mp4,3.34,1280x720,188,lateral raise,frame_000000 frame_000187,video,train
train/lateral raise/lateral raise_15.mp4,2.2,1280x720,89,lateral raise,frame_000000 frame_000088,video,train
train/lateral raise/lateral raise_17.mp4,4.48,1280x720,171,lateral raise,frame_000000 frame_000170,video,train
train/lateral raise/lateral raise_18.mp4,2.19,1280x720,81,lateral raise,frame_000000 frame_000080,video,train
train/lateral raise/lateral raise_19.mp4,2.9,1280x720,120,lateral raise,frame_000000 frame_000119,video,train
train/lateral raise/lateral raise_2.MOV,42.74,1920x1080,395,lateral raise,frame_000000 frame_000375,video,train
train/lateral raise/lateral raise_21.mp4,1.68,1280x720,77,lateral raise,frame_000000 frame_000076,video,train
train/lateral raise/lateral raise_22.mp4,1.76,1280x720,86,lateral raise,frame_000000 frame_000085,video,train
train/lateral raise/lateral raise_23.mp4,2.3,1280x720,87,lateral raise,frame_000000 frame_000086,video,train
train/lateral raise/lateral raise_25.mp4,4.19,1280x720,166,lateral raise,frame_000000 frame_000165,video,train
train/lateral raise/lateral raise_26.mp4,6.42,1280x720,245,lateral raise,frame_000000 frame_000244,video,train
train/lateral raise/lateral raise_27.mp4,3.05,1280x720,180,lateral raise,frame_000000 frame_000179,video,train
train/lateral raise/lateral raise_32.mp4,6.62,1280x720,294,lateral raise,frame_000000 frame_000293,video,train
train/lateral raise/lateral raise_33.mp4,8.34,1280x720,372,lateral raise,frame_000000 frame_000371,video,train
train/lateral raise/lateral raise_35.mp4,6.25,1280x720,275,lateral raise,frame_000000 frame_000274,video,train
train/lateral raise/lateral raise_36.mp4,4.99,1280x720,212,lateral raise,frame_000000 frame_000211,video,train
train/lateral raise/lateral raise_37.mp4,7.61,1280x720,333,lateral raise,frame_000000 frame_000332,video,train
train/lateral raise/lateral raise_4.MOV,48.24,1920x1080,458,lateral raise,frame_000000 frame_000425,video,train
train/lateral raise/lateral raise_8.mp4,1.5,1280x720,58,lateral raise,frame_000000 frame_000057,video,train
train/lateral raise/lateral_raise_38.mp4,16.17,720x1280,501,lateral raise,frame_000000 frame_000500,video,train
train/lateral raise/lateral_raise_41.mp4,18.78,720x1280,558,lateral raise,frame_000000 frame_000557,video,train
train/lateral raise/lateral_raise_42.mp4,20.26,720x1280,614,lateral raise,frame_000000 frame_000613,video,train
train/lateral raise/lateral_raise_44.mp4,20.64,720x1280,631,lateral raise,frame_000000 frame_000630,video,train
train/lateral raise/lateral_raise_45.mp4,20.6,720x1280,631,lateral raise,frame_000000 frame_000630,video,train
train/lateral raise/lateral_raise_46.mp4,18.95,720x1280,573,lateral raise,frame_000000 frame_000572,video,train
train/lateral raise/lateral_raise_48.webm,0.79,898x506,582,lateral raise,frame_000000 frame_000581,video,train
train/lateral raise/lateral_raise_50.webm,5.06,596x336,1113,lateral raise,frame_000100 frame_000990,video,train
train/lateral raise/lateral_raise_52.webm,0.35,898x506,189,lateral raise,frame_000000 frame_000188,video,train
train/lateral raise/lateral_raise_53.webm,0.66,898x506,465,lateral raise,frame_000000 frame_000464,video,train
train/push-up/push-up_1.mp4,0.61,1920x1080,150,push-up,frame_000000 frame_000149,video,train
train/push-up/push-up_11.mp4,0.61,1920x1080,150,push-up,frame_000000 frame_000149,video,train
train/push-up/push-up_13.mp4,0.61,1920x1080,150,push-up,frame_000000 frame_000149,video,train
train/push-up/push-up_15.mp4,0.34,1920x1080,83,push-up,frame_000000 frame_000082,video,train
train/push-up/push-up_16.mp4,0.56,1920x1080,140,push-up,frame_000000 frame_000139,video,train
train/push-up/push-up_18.mp4,0.29,1920x1080,70,push-up,frame_000000 frame_000069,video,train
train/push-up/push-up_20.mp4,0.61,1920x1080,150,push-up,frame_000000 frame_000149,video,train
train/push-up/push-up_21.mp4,0.61,1920x1080,150,push-up,frame_000000 frame_000149,video,train
train/push-up/push-up_22.mp4,0.61,1920x1080,150,push-up,frame_000000 frame_000149,video,train
train/push-up/push-up_23.mp4,0.47,1920x1080,116,push-up,frame_000000 frame_000115,video,train
train/push-up/push-up_24.mp4,0.52,1920x1080,126,push-up,frame_000000 frame_000125,video,train
train/push-up/push-up_25.mp4,0.4,1920x1080,98,push-up,frame_000000 frame_000097,video,train
train/push-up/push-up_26.mp4,0.61,1920x1080,150,push-up,frame_000000 frame_000149,video,train
train/push-up/push-up_27.mp4,0.61,1920x1080,150,push-up,frame_000000 frame_000149,video,train
train/push-up/push-up_28.mp4,0.46,1920x1080,113,push-up,frame_000000 frame_000112,video,train
train/push-up/push-up_3.mp4,0.61,1920x1080,150,push-up,frame_000000 frame_000149,video,train
train/push-up/push-up_30.mp4,0.57,1920x1080,140,push-up,frame_000000 frame_000139,video,train
train/push-up/push-up_31.mp4,0.61,1920x1080,150,push-up,frame_000000 frame_000149,video,train
train/push-up/push-up_33.mp4,0.59,1920x1080,146,push-up,frame_000000 frame_000145,video,train
train/push-up/push-up_35.mp4,0.61,1920x1080,150,push-up,frame_000000 frame_000149,video,train
train/push-up/push-up_37.mp4,0.6,1920x1080,149,push-up,frame_000000 frame_000148,video,train
train/push-up/push-up_38.mp4,0.61,1920x1080,150,push-up,frame_000000 frame_000149,video,train
train/push-up/push-up_39.mp4,0.58,1920x1080,145,push-up,frame_000000 frame_000144,video,train
train/push-up/push-up_4.mp4,0.61,1920x1080,150,push-up,frame_000000 frame_000149,video,train
train/push-up/push-up_41.mp4,0.44,1920x1080,108,push-up,frame_000000 frame_000107,video,train
train/push-up/push-up_44.mp4,0.46,1920x1080,113,push-up,frame_000000 frame_000149,video,train
train/push-up/push-up_46.mp4,0.61,1920x1080,150,push-up,frame_000000 frame_000149,video,train
train/push-up/push-up_5.mp4,0.61,1920x1080,150,push-up,frame_000000 frame_000149,video,train
train/push-up/push-up_50.mp4,0.61,1920x1080,150,push-up,frame_000000 frame_000149,video,train
train/push-up/push-up_52.mp4,5.17,1280x720,411,push-up,frame_000000 frame_000033; frame_000034 frame_000298; frame_000299 frame_000410,video,train
train/push-up/push-up_54.mp4,5.73,1280x720,778,push-up,frame_000000 frame_000777,video,train
train/push-up/push-up_55.mp4,11.14,1280x720,475,push-up,frame_000000 frame_000777,video,train
train/push-up/push-up_59.webm,1.42,600x316,745,push-up,frame_000000 frame_000744,video,train
train/push-up/push-up_6.mp4,0.61,1920x1080,150,push-up,frame_000000 frame_000149,video,train
train/push-up/push-up_7.mp4,0.61,1920x1080,150,push-up,frame_000000 frame_000149,video,train
train/push-up/push-up_9.mp4,0.61,1920x1080,150,push-up,frame_000000 frame_000149,video,train
train/bench press/bench press_1.mp4,0.24,1920x1080,58,bench press,frame_000000 frame_000057,video,train
train/bench press/bench press_10.mp4,0.22,1920x1080,53,bench press,frame_000000 frame_000052,video,train
train/bench press/bench press_11.mp4,0.17,1920x1080,39,bench press,frame_000000 frame_000038,video,train
train/bench press/bench press_12.mp4,0.62,1920x1080,150,bench press,frame_000000 frame_000149,video,train
train/bench press/bench press_14.mp4,0.22,1920x1080,54,bench press,frame_000000 frame_000053,video,train
train/bench press/bench press_15.mp4,0.41,1920x1080,99,bench press,frame_000000 frame_000098,video,train
train/bench press/bench press_19.mp4,0.29,1920x1080,71,bench press,frame_000000 frame_000070,video,train
train/bench press/bench press_2.mp4,0.24,1920x1080,58,bench press,frame_000000 frame_000057,video,train
train/bench press/bench press_20.mp4,0.27,1920x1080,65,bench press,frame_000000 frame_000064,video,train
train/bench press/bench press_22.mp4,0.26,1920x1080,62,bench press,frame_000000 frame_000061,video,train
train/bench press/bench press_23.mp4,0.27,1920x1080,64,bench press,frame_000000 frame_000063,video,train
train/bench press/bench press_25.mp4,0.21,1920x1080,51,bench press,frame_000000 frame_000050,video,train
train/bench press/bench press_26.mp4,0.26,1920x1080,62,bench press,frame_000000 frame_000061,video,train
train/bench press/bench press_27.mp4,0.26,1920x1080,62,bench press,frame_000000 frame_000061,video,train
train/bench press/bench press_29.mp4,5.26,1280x720,208,bench press,frame_000000 frame_000207,video,train
train/bench press/bench press_3.mp4,0.35,1920x1080,86,bench press,frame_000000 frame_000085,video,train
train/bench press/bench press_30.mp4,1.36,1280x720,65,bench press,frame_000000 frame_000064,video,train
train/bench press/bench press_31.mp4,2.0,1280x720,77,bench press,frame_000000 frame_000076,video,train
train/bench press/bench press_33.mp4,1.7,1280x720,70,bench press,frame_000000 frame_000069,video,train
train/bench press/bench press_34.mp4,3.8,1280x720,146,bench press,frame_000000 frame_000145,video,train
train/bench press/bench press_37.mp4,9.34,1280x720,388,bench press,frame_000000 frame_000387,video,train
train/bench press/bench press_39.mp4,20.46,1280x720,755,bench press,frame_000000 frame_000754,video,train
train/bench press/bench press_4.mp4,0.25,1920x1080,60,bench press,frame_000000 frame_000059,video,train
train/bench press/bench press_41.mp4,1.69,1280x720,68,bench press,frame_000000 frame_000065,video,train
train/bench press/bench press_43.mp4,1.6,1280x720,63,bench press,frame_000000 frame_000061,video,train
train/bench press/bench press_44.mp4,3.04,1280x720,125,bench press,frame_000000 frame_000124,video,train
train/bench press/bench press_45.mp4,2.28,1280x720,90,bench press,frame_000000 frame_000089,video,train
train/bench press/bench press_48.mp4,4.28,1280x720,160,bench press,frame_000000 frame_000159,video,train
train/bench press/bench press_49.mp4,1.81,1280x720,75,bench press,frame_000000 frame_000074,video,train
train/bench press/bench press_5.mp4,0.19,1920x1080,46,bench press,frame_000000 frame_000045,video,train
train/bench press/bench press_51.mp4,1.34,1280x720,58,bench press,frame_000000 frame_000057,video,train
train/bench press/bench press_52.mp4,0.83,1280x720,35,bench press,frame_000000 frame_000034,video,train
train/bench press/bench press_54.mp4,2.12,1280x720,82,bench press,frame_000000 frame_000081,video,train
train/bench press/bench press_55.mp4,0.66,1280x720,30,bench press,frame_000000 frame_000029,video,train
train/bench press/bench press_57.mp4,2.5,1280x720,100,bench press,frame_000000 frame_000099,video,train
train/bench press/bench press_58.mp4,1.21,1280x720,46,bench press,frame_000000 frame_000045,video,train
train/bench press/bench press_6.mp4,0.26,1920x1080,63,bench press,frame_000000 frame_000062,video,train
train/bench press/bench press_61.mp4,2.39,1280x720,105,bench press,frame_000000 frame_000104,video,train
train/bench press/bench_press_62.mp4,26.83,720x1280,809,bench press,frame_000000 frame_000808,video,train
train/bench press/bench_press_65.mp4,21.51,720x1280,655,bench press,frame_000000 frame_000654,video,train
train/bench press/bench_press_66.mp4,21.23,720x1280,641,bench press,frame_00000 frame_000640,video,train
train/bench press/bench_press_67.mp4,20.65,720x1280,628,bench press,frame_000000 frame_000627,video,train
train/bench press/bench_press_68.mp4,20.18,720x1280,613,bench press,frame_000000 frame_000612,video,train
train/bench press/bench_press_70.webm,0.72,898x506,484,bench press,frame_000000 frame_000483,video,train
train/bench press/bench_press_73.webm,1.56,596x336,358,bench press,frame_000000 frame_000357,video,train
train/bench press/bench_press_75.webm,1.47,600x316,352,bench press,frame_000000 frame_000351,video,train
train/bench press/bench_press_76.webm,1.37,596x336,312,bench press,frame_000000 frame_000311,video,train
train/chest fly machine/chest fly machine_10.mp4,0.42,1920x1080,102,chest fly machine,frame_000000 frame_000101,video,train
train/chest fly machine/chest fly machine_11.mp4,0.44,1920x1080,108,chest fly machine,frame_000000 frame_000107,video,train
train/chest fly machine/chest fly machine_12.mp4,0.43,1920x1080,106,chest fly machine,frame_000000 frame_000105,video,train
train/chest fly machine/chest fly machine_13.mp4,0.38,1920x1080,93,chest fly machine,frame_000000 frame_000092,video,train
train/chest fly machine/chest fly machine_14.mp4,0.45,1920x1080,110,chest fly machine,frame_000000 frame_000109,video,train
train/chest fly machine/chest fly machine_16.mp4,0.33,1920x1080,80,chest fly machine,frame_000000 frame_000079,video,train
train/chest fly machine/chest fly machine_17.mp4,0.53,1920x1080,131,chest fly machine,frame_000000 frame_000130,video,train
train/chest fly machine/chest fly machine_21.mp4,0.87,1920x1080,215,chest fly machine,frame_000000 frame_000214,video,train
train/chest fly machine/chest fly machine_22.mp4,2.37,1280x676,453,chest fly machine,frame_000000 frame_000452,video,train
train/chest fly machine/chest fly machine_23.mp4,9.44,1280x720,420,chest fly machine,frame_000000 frame_000419,video,train
train/chest fly machine/chest fly machine_24.mp4,2.9,1280x720,180,chest fly machine,frame_000000 frame_000179,video,train
train/chest fly machine/chest fly machine_25.mp4,5.91,1280x720,255,chest fly machine,frame_000000 frame_000254,video,train
train/chest fly machine/chest fly machine_26.mp4,21.13,1280x720,756,chest fly machine,frame_000000 frame_000755,video,train
train/chest fly machine/chest fly machine_3.mp4,0.33,1920x1080,80,chest fly machine,frame_000000 frame_000079,video,train
train/chest fly machine/chest fly machine_4.mp4,0.55,1920x1080,135,chest fly machine,frame_000000 frame_000134,video,train
train/chest fly machine/chest fly machine_6.mp4,0.53,1920x1080,129,chest fly machine,frame_000000 frame_000128,video,train
train/chest fly machine/chest fly machine_7.mp4,0.4,1920x1080,97,chest fly machine,frame_000000 frame_000096,video,train
train/chest fly machine/chest fly machine_8.mp4,0.62,1920x1080,153,chest fly machine,frame_000000 frame_000152,video,train
train/chest fly machine/chest fly machine_9.mp4,0.62,1920x1080,153,chest fly machine,frame_000000 frame_000152,video,train
train/chest fly machine/chest_fly_machine_29.mp4,33.68,720x1280,1038,chest fly machine,frame_000000 frame_001037,video,train
train/chest fly machine/chest_fly_machine_30.mp4,21.63,720x1280,658,chest fly machine,frame_000000 frame_000657,video,train
train/chest fly machine/chest_fly_machine_31.mp4,30.57,720x1280,929,chest fly machine,frame_000000 frame_000928,video,train
train/chest fly machine/chest_fly_machine_37.webm,0.2,898x506,174,chest fly machine,frame_000000 frame_000173,video,train
train/chest fly machine/chest_fly_machine_38.webm,4.96,596x336,2940,chest fly machine,frame_000000 frame_002939,video,train
train/chest fly machine/chest_fly_machine_40.webm,1.74,596x336,401,chest fly machine,frame_000000 frame_000400,video,train
train/chest fly machine/chest_fly_machine_42.webm,1.21,596x336,331,chest fly machine,frame_000000 frame_000330,video,train
train/chest fly machine/chest_fly_machine_43.webm,0.83,596x336,273,chest fly machine,frame_000000 frame_000272,video,train
train/chest fly machine/chest_fly_machine_44.webm,0.55,596x336,139,chest fly machine,frame_000000 frame_000138,video,train
train/chest fly machine/chest_fly_machine_46.webm,2.48,596x336,559,chest fly machine,frame_000000 frame_000558,video,train
train/chest fly machine/chest_fly_machine_48.mp4,0.77,360x640,524,chest fly machine,frame_000000 frame_000523,video,train
train/deadlift/deadlift_11.mp4,0.5,1920x1080,121,deadlift,frame_000000 frame_000120,video,train
train/deadlift/deadlift_14.mp4,0.61,1920x1080,150,deadlift,frame_000000 frame_000149,video,train
train/deadlift/deadlift_15.mp4,0.28,1920x1080,68,deadlift,frame_000000 frame_000067,video,train
train/deadlift/deadlift_17.mp4,0.6,1920x1080,147,deadlift,frame_000000 frame_000146,video,train
train/deadlift/deadlift_18.mp4,0.42,1920x1080,105,deadlift,frame_000000 frame_000104,video,train
train/deadlift/deadlift_19.mp4,0.26,1920x1080,62,deadlift,frame_000000 frame_000061,video,train
train/deadlift/deadlift_2.mp4,0.61,1920x1080,150,deadlift,frame_000000 frame_000149,video,train
train/deadlift/deadlift_20.mp4,0.24,1920x1080,59,deadlift,frame_000000 frame_000058,video,train
train/deadlift/deadlift_21.mp4,0.79,1920x1080,195,deadlift,frame_000000 frame_000194,video,train
train/deadlift/deadlift_24.mp4,0.42,1920x1080,103,deadlift,frame_000000 frame_000102,video,train
train/deadlift/deadlift_25.mp4,25.5,1280x720,938,deadlift,frame_000000 frame_000937,video,train
train/deadlift/deadlift_26.mp4,4.04,1280x720,180,deadlift,frame_000000 frame_000179,video,train
train/deadlift/deadlift_27.mp4,3.88,1280x720,165,deadlift,frame_000000 frame_000164,video,train
train/deadlift/deadlift_28.mp4,5.34,1280x720,192,deadlift,frame_000000 frame_000191,video,train
train/deadlift/deadlift_3.mp4,0.61,1920x1080,150,deadlift,frame_000000 frame_000149,video,train
train/deadlift/deadlift_30.mp4,4.84,1280x720,185,deadlift,frame_000000 frame_000184,video,train
train/deadlift/deadlift_31.mp4,3.84,1280x720,144,deadlift,frame_000000 frame_000143,video,train
train/deadlift/deadlift_32.mp4,2.61,1280x720,105,deadlift,frame_000000 frame_000104,video,train
train/deadlift/deadlift_33.mp4,21.87,720x1280,672,deadlift,frame_000000 frame_000671,video,train
train/deadlift/deadlift_34.mp4,22.42,720x1280,683,deadlift,frame_000000 frame_000682,video,train
train/deadlift/deadlift_36.mp4,22.27,720x1280,673,deadlift,frame_000000 frame_000672,video,train
train/deadlift/deadlift_37.mp4,39.34,720x1280,1204,deadlift,frame_000000 frame_001203,video,train
train/deadlift/deadlift_38.mp4,30.6,720x1280,921,deadlift,frame_000000 frame_000920,video,train
train/deadlift/deadlift_39.mp4,20.64,720x1280,634,deadlift,frame_000000 frame_000633,video,train
train/deadlift/deadlift_45.webm,1.53,596x336,451,deadlift,frame_000000 frame_000450,video,train
train/deadlift/deadlift_47.webm,0.7,898x506,553,deadlift,frame_000000 frame_000552,video,train
train/deadlift/deadlift_48.webm,1.0,900x474,242,deadlift,frame_000000 frame_000241,video,train
train/deadlift/deadlift_50.webm,0.47,900x474,305,deadlift,frame_000000 frame_000304,video,train
train/deadlift/deadlift_6.mp4,0.61,1920x1080,150,deadlift,frame_000000 frame_000149,video,train
train/deadlift/deadlift_8.mp4,0.61,1920x1080,150,deadlift,frame_000000 frame_000149,video,train
train/decline bench press/dbp_1.mp4,4.21,320x240,541,decline bench press,frame_000101 frame_000540,video,train
train/decline bench press/dbp_10.mp4,7.09,1280x720,324,decline bench press,frame_000000 frame_000323,video,train
train/decline bench press/dbp_12.mp4,2.47,1280x720,125,decline bench press,frame_000000 frame_000124,video,train
train/decline bench press/dbp_7.MOV,74.92,1920x1080,718,decline bench press,frame_000000 frame_000717,video,train
train/decline bench press/dbp_8.mp4,1.92,1280x720,68,decline bench press,frame_000000 frame_000067,video,train
train/decline bench press/dbp_9.mp4,5.26,1280x720,192,decline bench press,frame_000000 frame_000191,video,train
train/decline bench press/decline_bench_press_13.mp4,7.9,1280x720,1911,decline bench press,frame_000565 frame_000575; frame_000576 frame_001177; frame_001178 frame_001341; frame_001342 frame_001582,video,train
train/decline bench press/decline_bench_press_16.mp4,2.49,640x360,1004,decline bench press,frame_000330 frame_001003,video,train
train/decline bench press/decline_bench_press_17.mp4,5.34,360x640,1805,decline bench press,frame_000926 frame_0001658,video,train
train/decline bench press/decline_bench_press_19.mp4,3.86,640x360,2133,decline bench press,frame_000881 frame_001670,video,train
train/decline bench press/decline_bench_press_20.mp4,0.54,640x360,294,decline bench press,frame_000136 frame_000293,video,train
train/decline bench press/decline_bench_press_21.mp4,5.25,640x360,3508,decline bench press,frame_001630 frame_001960,video,train
train/decline bench press/decline_bench_press_23.mp4,48.61,720x1280,6488,decline bench press,frame_000000 frame_006487,video,train
train/decline bench press/decline_bench_press_24.mp4,2.33,640x360,1410,decline bench press,frame_000630 frame_000691; frame_000692 frame_000808; frame_000809 frame_000985; frame_000986 frame_001250,video,train
train/decline bench press/decline_bench_press_25.mp4,7.55,480x360,4583,decline bench press,frame_002031 frame_002980,video,train
train/decline bench press/decline_bench_press_26.mp4,2.14,640x360,1251,decline bench press,frame_000316 frame_001097,video,train
train/decline bench press/decline_bench_press_28.mp4,2.88,720x1280,556,decline bench press,frame_000000 frame_000555,video,train
train/decline bench press/decline_bench_press_29.mp4,20.05,640x360,8258,decline bench press,frame_000181 frame_000680; frame_001011 frame_001370; frame_002021 frame_002520; frame_003301 frame_003900; frame_004261 frame_004850; frame_005651 frame_006430; frame_007061 frame_007470; frame_007851 frame_008070,video,train
train/decline bench press/decline_bench_press_33.mp4,4.11,640x360,2782,decline bench press,frame_001471 frame_002180,video,train
train/hammer curl/hammer curl_11.mp4,11.84,1280x720,528,hammer curl,frame_000000 frame_000527,video,train
train/hammer curl/hammer curl_13.mp4,6.64,1280x720,291,hammer curl,frame_000000 frame_000290,video,train
train/hammer curl/hammer curl_14.mp4,1.13,1280x720,51,hammer curl,frame_000000 frame_000050,video,train
train/hammer curl/hammer curl_15.mp4,2.7,1280x720,114,hammer curl,frame_000000 frame_000113,video,train
train/hammer curl/hammer curl_16.mp4,6.89,1280x720,303,hammer curl,frame_000000 frame_000302,video,train
train/hammer curl/hammer curl_17.mp4,6.06,1080x608,323,hammer curl,frame_000000 frame_000322,video,train
train/hammer curl/hammer curl_19.mp4,6.12,1080x608,315,hammer curl,frame_000000 frame_000314,video,train
train/hammer curl/hammer curl_2.MOV,39.97,1920x1080,381,hammer curl,frame_000000 frame_000380,video,train
train/hammer curl/hammer curl_5.MOV,42.72,1920x1080,430,hammer curl,frame_000036 frame_000426,video,train
train/hammer curl/hammer curl_8.mp4,6.15,1280x720,249,hammer curl,frame_000000 frame_000248,video,train
train/hammer curl/hammer_curl_20.mp4,32.82,720x1280,989,hammer curl,frame_000000 frame_000988,video,train
train/hammer curl/hammer_curl_22.mp4,21.19,720x1280,654,hammer curl,frame_000000 frame_000653,video,train
train/hammer curl/hammer_curl_23.mp4,19.87,720x1280,604,hammer curl,frame_000000 frame_000603,video,train
train/hammer curl/hammer_curl_24.mp4,21.48,720x1280,655,hammer curl,frame_000000 frame_000654,video,train
train/hammer curl/hammer_curl_26.mp4,23.49,720x1280,727,hammer curl,frame_000000 frame_000726,video,train
train/hammer curl/hammer_curl_27.mp4,21.67,720x1280,663,hammer curl,frame_000000 frame_000662,video,train
train/hammer curl/hammer_curl_29.webm,0.4,898x506,467,hammer curl,frame_000000 frame_000466,video,train
